Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
34.0,Female,86.7,1.86,174.0,152.0,74.0,1:07,712.0,Strength,12.8,2.4,5.0,Intermediate,14.31
26.0,Female,84.7,1.83,166.0,156.0,73.0,1:00,833.0,Strength,27.9,2.8,5.0,Intermediate,33.49
22.0,Male,64.8,1.85,187.0,166.0,64.0,1:14,1678.0,Cardio,28.7,1.9,3.0,Intermediate,12.73
54.0,Female,75.3,1.82,187.0,169.0,58.0,1:26,628.0,Cardio,31.8,2.4,4.0,Beginner,20.37
34.0,Female,52.8,1.74,177.0,169.0,66.0,1:36,1286.0,Strength,26.4,3.2,4.0,Intermediate,20.83
38.0,Female,53.0,1.58,161.0,128.0,74.0,1:37,953.0,HIIT,23.4,2.5,2.0,Intermediate,13.02
44.0,Female,46.5,1.81,191.0,142.0,74.0,1:27,1238.0,Cardio,11.9,3.7,2.0,Intermediate,18.12
50.0,Female,88.5,1.63,181.0,136.0,63.0,1:37,829.0,Strength,11.6,1.8,4.0,Intermediate,19.16
18.0,Female,82.9,1.54,174.0,169.0,64.0,0:46,802.0,HIIT,27.8,2.2,3.0,Beginner,36.707499999999996
34.0,Female,65.9,1.74,195.0,169.0,73.0,2:00,1231.0,Yoga,30.5,3.2,5.0,Intermediate,12.32
39.0,Female,47.0,1.78,181.0,155.0,55.0,1:53,747.0,Yoga,31.7,2.3,3.0,Advanced,28.39
19.0,Male,87.7,1.98,186.0,145.0,50.0,1:36,1705.0,Strength,14.1,2.3,3.0,Intermediate,15.99
56.0,Female,107.4,1.73,176.0,141.0,71.0,0:39,1564.0,HIIT,26.0,3.0,2.0,Advanced,14.48
19.0,Female,71.7,1.91,197.0,148.0,74.0,1:08,464.0,Cardio,32.5,2.7,4.0,Intermediate,19.09
30.0,Female,90.6,1.6,161.0,125.0,52.0,1:01,1410.0,Yoga,16.0,3.5,4.0,Intermediate,13.91
23.0,Male,56.2,1.76,195.0,141.0,55.0,1:26,1195.0,HIIT,23.9,3.2,4.0,Beginner,22.61
39.0,Female,71.3,1.77,171.0,124.0,74.0,0:41,871.0,Cardio,21.9,2.1,5.0,Beginner,14.31
54.0,Female,47.7,1.56,181.0,128.0,74.0,1:30,853.0,Yoga,26.5,1.5,3.0,Beginner,23.64
26.0,Male,121.99999999999999,1.71,196.0,136.0,74.0,1:16,931.0,Yoga,26.6,1.8,5.0,Beginner,21.04
22.0,Female,102.4,1.5,173.0,156.0,55.0,1:26,453.0,HIIT,17.5,1.6,4.0,Advanced,18.23
25.0,Male,57.2,1.82,184.0,140.0,74.0,1:08,888.0,Strength,26.9,2.6,4.0,Intermediate,15.23
59.0,Male,71.8,1.5,165.0,152.0,74.0,1:56,758.0,Yoga,28.9,3.3,3.0,Beginner,16.87
18.0,Male,112.4,1.71,177.0,165.0,55.0,1:33,1044.0,HIIT,33.5,1.7,2.0,Intermediate,24.43
25.0,Female,64.3,1.65,183.0,169.0,67.0,1:16,1783.0,Cardio,20.0,3.2,2.0,Advanced,20.59
32.0,Male,72.4,1.74,189.0,127.0,60.0,1:23,1090.0,Yoga,16.9,1.6,2.0,Beginner,17.68
28.0,Male,62.4,1.56,193.0,141.0,55.0,2:00,861.0,Cardio,32.2,3.6,3.0,Beginner,18.61
27.0,Female,78.6,1.65,198.0,127.0,66.0,1:36,938.0,Yoga,26.8,3.1,3.0,Beginner,17.92
44.0,Female,45.0,1.53,199.0,158.0,50.0,0:42,930.0,Strength,21.9,3.6,4.0,Beginner,27.74
20.0,Female,103.4,1.53,180.0,166.0,56.0,1:16,631.0,HIIT,23.0,3.0,4.0,Beginner,19.18
51.0,Male,79.2,1.85,178.0,147.0,51.0,1:31,1355.0,Strength,23.2,2.0,4.0,Beginner,18.95
35.0,Male,75.7,1.61,192.0,147.0,52.0,0:55,1211.0,Strength,21.2,2.4,3.0,Intermediate,23.19
21.0,Male,76.8,1.75,166.0,125.0,74.0,1:33,1152.0,Strength,25.1,2.7,3.0,Beginner,16.66
48.0,Female,112.6,1.69,160.0,162.0,63.0,0:53,1482.0,Cardio,22.6,2.5,4.0,Intermediate,12.32
18.0,Male,73.7,1.78,192.0,154.0,73.0,1:10,851.0,Strength,27.4,2.6,2.0,Intermediate,21.08
18.0,Female,84.0,1.71,194.0,148.0,52.0,0:55,621.0,Strength,28.3,3.4,3.0,Advanced,17.99
